,wp_height,blade_angle,feed_vel,tot_diam_remov,wp_lenght,wp_diameter,grind_wheel_diam,contr_wheel_diam,contr_wheel_vel,grind_spec_energy,edge_force_comp,grit_stiff,Hi_fidelity_output
0,6.2945556640625,40.0,0.0231385498046875,18.0,49.151611328125,6.9537353515625,334.1064453125,222.247314453125,16.14501953125,34810.791015625,4.9005126953125,384.521484375,3.1396999084069566
1,12.0562744140625,20.0,0.0096170654296875,13.0,117.293701171875,15.0238037109375,308.8623046875,255.902099609375,20.33447265625,36568.603515625,0.8489990234375,289.208984375,4.364351536577614
2,-3.5687255859375,40.0,0.0146595458984375,10.0,29.759521484375,45.2764892578125,372.8759765625,263.262939453125,26.17919921875,36370.849609375,2.6580810546875,485.595703125,3.438761231922216
3,1.3568115234375,20.0,0.0133624267578125,13.0,42.962646484375,39.0728759765625,499.2431640625,334.197998046875,28.93798828125,18924.560546875,4.0264892578125,310.986328125,1.7160823995658152
4,15.7183837890625,30.0,0.0144012451171875,6.0,86.126708984375,46.3238525390625,488.2568359375,214.007568359375,19.17236328125,16456.298828125,1.7718505859375,206.689453125,5.78127606766975
5,14.6746826171875,40.0,0.022397338867187498,7.0,134.844970703125,40.0933837890625,397.4365234375,226.239013671875,16.24755859375,12830.810546875,1.9049072265625,377.490234375,8.882930276854633
6,0.8258056640625,30.0,0.0088814697265625,44.0,91.680908203125,41.8524169921875,315.9423828125,265.570068359375,17.64892578125,27091.064453125,3.2061767578125,311.669921875,2.4354033948813525
7,16.1700439453125,20.0,0.0149796142578125,19.0,101.741943359375,29.4451904296875,396.9482421875,306.842041015625,18.91845703125,11226.806640625,0.9698486328125,581.982421875,18.430102310249172
8,15.8953857421875,40.0,0.0030528564453125,157.0,21.031494140625,48.9556884765625,363.9404296875,212.982177734375,22.95166015625,37161.865234375,1.2127685546875,369.775390625,247.3466148826612
9,11.0247802734375,20.0,0.0123067626953125,25.0,49.405517578125,27.1624755859375,380.6396484375,329.693603515625,23.44482421875,29244.384765625,0.7745361328125,383.154296875,12.136047875907305
10,16.1029052734375,30.0,0.0056190185546875,15.0,109.644775390625,10.4046630859375,403.5400390625,210.125732421875,17.53173828125,15994.873046875,2.3284912109375,354.931640625,2.073069602504066
11,14.0460205078125,40.0,0.0085220947265625,38.0,92.601318359375,31.2042236328125,440.8935546875,213.421630859375,25.10009765625,31097.412109375,1.5093994140625,316.064453125,10.490200217026652
12,18.7579345703125,20.0,0.020387084960937503,13.0,61.846923828125,20.7171630859375,366.2353515625,219.464111328125,13.88916015625,13350.830078125,0.1947021484375,443.310546875,9.136541466215835
13,-1.5667724609375,30.0,0.0034796142578125003,131.0,30.552978515625,12.9962158203125,303.0517578125,287.799072265625,17.15576171875,18411.865234375,0.6732177734375,209.130859375,5.388190726787472
14,-0.9442138671875,20.0,0.0027159423828125003,47.0,112.342529296875,7.5445556640625,405.9814453125,320.098876953125,19.29443359375,25589.599609375,3.0133056640625,420.751953125,2.985463321639543
15,9.9505615234375,20.0,0.0025474853515625,57.0,61.307373046875,59.1204833984375,341.8701171875,284.722900390625,18.24951171875,24974.365234375,4.3682861328125,355.615234375,12.676587744690867
16,6.2457275390625,30.0,0.0039625244140625,109.0,85.142822265625,20.3009033203125,433.9599609375,327.093505859375,25.25634765625,32093.505859375,4.1326904296875,259.130859375,4.166856184394101
17,3.5052490234375,20.0,0.019179809570312498,18.0,85.904541015625,48.8214111328125,442.7490234375,228.399658203125,27.62451171875,37205.810546875,3.0450439453125,296.044921875,23.152311009714584
18,-2.9583740234375,20.0,0.0031427001953125,115.0,131.702880859375,13.6273193359375,373.1689453125,291.424560546875,22.38037109375,32269.287109375,4.9151611328125,587.548828125,10.969520440700299
19,3.9630126953125,40.0,0.0134298095703125,12.0,96.092529296875,55.7635498046875,439.3798828125,312.811279296875,16.24267578125,31544.189453125,4.6588134765625,266.845703125,5.376389493340815
20,7.0941162109375,40.0,0.024351440429687503,12.0,144.461669921875,48.8616943359375,403.7353515625,315.631103515625,13.07861328125,26571.044921875,3.2525634765625,306.201171875,9.400015480686848
21,12.1966552734375,20.0,0.0142720947265625,5.0,51.405029296875,33.0169677734375,330.5908203125,308.306884765625,22.34619140625,18433.837890625,2.7545166015625,202.978515625,2.5023424607901745
22,16.3836669921875,40.0,0.0058267822265625005,71.0,72.447509765625,31.7010498046875,368.0419921875,335.479736328125,25.64208984375,27266.845703125,4.5928955078125,347.802734375,6.205881285571764
23,14.7540283203125,30.0,0.020746459960937498,11.0,100.313720703125,5.9197998046875,414.0380859375,312.518310546875,20.66162109375,33155.517578125,2.2344970703125,584.814453125,1.9089424330590872
24,16.1578369140625,40.0,0.021246215820312497,3.0,30.045166015625,38.1195068359375,383.0322265625,284.136962890625,18.78173828125,16712.646484375,2.0709228515625,589.892578125,5.646511905522315
25,7.2772216796875,30.0,0.0080335693359375,34.0,49.564208984375,48.9154052734375,423.3642578125,279.595947265625,27.06787109375,31207.275390625,2.1002197265625,262.939453125,10.84039017325332
26,17.3541259765625,20.0,0.023554077148437498,9.0,112.310791015625,25.2423095703125,358.2275390625,250.225830078125,25.63720703125,11849.365234375,4.7515869140625,504.541015625,6.692899351981821
27,10.3594970703125,20.0,0.0153782958984375,20.0,44.263916015625,56.3946533203125,350.4150390625,334.783935546875,21.81884765625,23282.470703125,1.1834716796875,232.958984375,17.53032960109893
28,17.3602294921875,20.0,0.0209486083984375,15.0,122.816162109375,31.0162353515625,415.1611328125,259.967041015625,24.82666015625,20103.759765625,4.0850830078125,422.119140625,25.797519792577585
